iter	Passed	Remaining
0	166	166197
1	175	87348
2	181	60252
3	187	46616
4	192	38229
5	196	32542
6	200	28469
7	205	25424
8	209	23062
9	213	21159
10	218	19643
11	223	18375
12	227	17265
13	231	16323
14	236	15504
15	240	14794
16	244	14152
17	248	13578
18	253	13085
19	258	12680
20	265	12365
21	270	12023
22	275	11708
23	279	11385
24	284	11091
25	289	10849
26	294	10603
27	298	10365
28	303	10151
29	307	9944
30	311	9749
31	316	9567
32	320	9396
33	325	9243
34	329	9091
35	334	8946
36	338	8807
37	342	8675
38	347	8551
39	351	8432
40	355	8318
41	360	8223
42	365	8124
43	369	8032
44	374	7937
45	378	7844
46	382	7759
47	387	7677
48	391	7601
49	396	7527
50	400	7454
51	404	7380
52	409	7311
53	413	7240
54	417	7174
55	421	7111
56	426	7061
57	431	7002
58	435	6944
59	439	6888
60	443	6833
61	448	6784
62	452	6734
63	457	6692
64	463	6669
65	469	6638
66	473	6594
67	477	6549
68	482	6511
69	486	6469
70	491	6433
71	495	6390
72	500	6354
73	504	6314
74	508	6275
75	512	6235
76	517	6199
77	521	6163
78	525	6131
79	530	6098
80	534	6064
81	538	6031
82	542	5998
83	547	5967
84	551	5935
85	555	5903
86	560	5877
87	564	5850
88	568	5824
89	573	5796
90	577	5768
91	581	5743
92	586	5717
93	590	5691
94	595	5668
95	599	5642
96	603	5617
97	607	5593
98	611	5569
99	616	5548
100	620	5525
101	625	5504
102	629	5484
103	634	5463
104	638	5441
105	642	5420
106	647	5401
107	651	5380
108	655	5361
109	662	5361
110	668	5351
111	673	5336
112	678	5324
113	683	5310
114	687	5293
115	692	5276
116	696	5259
117	701	5240
118	705	5220
119	709	5201
120	713	5183
121	717	5166
122	722	5148
123	726	5133
124	730	5115
125	735	5098
126	739	5081
127	743	5064
128	747	5047
129	751	5029
130	755	5013
131	760	5001
132	764	4986
133	769	4972
134	773	4958
135	778	4945
136	782	4929
137	786	4915
138	791	4900
139	796	4890
140	800	4875
141	804	4862
142	808	4848
143	813	4834
144	817	4821
145	821	4807
146	826	4795
147	830	4783
148	835	4769
149	839	4756
150	843	4742
151	847	4729
152	851	4715
153	856	4703
154	862	4704
155	867	4693
156	871	4681
157	876	4672
158	881	4661
159	885	4649
160	889	4637
161	894	4626
162	898	4614
163	902	4603
164	907	4591
165	911	4579
166	915	4567
167	919	4555
168	924	4544
169	928	4534
170	933	4523
171	937	4512
172	941	4501
173	945	4489
174	950	4478
175	954	4469
176	959	4461
177	963	4451
178	968	4440
179	972	4430
180	976	4419
181	980	4408
182	985	4398
183	989	4389
184	994	4382
185	999	4375
186	1004	4366
187	1008	4355
188	1012	4345
189	1016	4335
190	1021	4325
191	1026	4318
192	1030	4307
193	1034	4297
194	1039	4289
195	1043	4280
196	1047	4270
197	1052	4261
198	1057	4257
199	1063	4253
200	1067	4245
201	1072	4237
202	1077	4230
203	1081	4221
204	1086	4212
205	1090	4203
206	1095	4195
207	1099	4186
208	1104	4178
209	1108	4169
210	1112	4160
211	1116	4151
212	1121	4142
213	1125	4134
214	1130	4126
215	1135	4120
216	1140	4114
217	1145	4108
218	1149	4099
219	1153	4091
220	1158	4082
221	1162	4074
222	1166	4065
223	1171	4057
224	1175	4047
225	1179	4038
226	1183	4030
227	1187	4021
228	1192	4013
229	1197	4007
230	1202	4001
231	1207	3995
232	1211	3988
233	1216	3980
234	1220	3972
235	1224	3964
236	1229	3958
237	1235	3956
238	1240	3949
239	1244	3942
240	1249	3935
241	1254	3929
242	1258	3921
243	1263	3914
244	1268	3908
245	1272	3900
246	1276	3892
247	1281	3884
248	1285	3876
249	1289	3868
250	1293	3860
251	1298	3853
252	1302	3846
253	1306	3838
254	1311	3830
255	1315	3823
256	1320	3816
257	1324	3808
258	1328	3801
259	1333	3794
260	1337	3787
261	1341	3779
262	1345	3771
263	1350	3764
264	1354	3756
265	1358	3749
266	1363	3743
267	1367	3735
268	1371	3727
269	1375	3719
270	1379	3712
271	1384	3704
272	1388	3697
273	1392	3690
274	1397	3684
275	1402	3678
276	1406	3671
277	1410	3664
278	1415	3656
279	1419	3649
280	1423	3641
281	1427	3634
282	1432	3629
283	1438	3627
284	1443	3620
285	1447	3614
286	1452	3607
287	1456	3601
288	1461	3595
289	1465	3589
290	1470	3582
291	1474	3575
292	1478	3568
293	1483	3561
294	1487	3554
295	1491	3548
296	1496	3541
297	1501	3535
298	1505	3529
299	1509	3522
300	1514	3516
301	1518	3508
302	1522	3501
303	1526	3495
304	1530	3488
305	1535	3482
306	1539	3476
307	1544	3469
308	1548	3462
309	1552	3455
310	1556	3448
311	1561	3442
312	1565	3436
313	1570	3430
314	1574	3423
315	1578	3417
316	1583	3410
317	1587	3404
318	1591	3398
319	1596	3393
320	1601	3387
321	1606	3382
322	1611	3377
323	1615	3370
324	1619	3363
325	1624	3357
326	1628	3352
327	1633	3346
328	1639	3344
329	1645	3340
330	1650	3334
331	1654	3328
332	1658	3322
333	1662	3315
334	1667	3309
335	1671	3303
336	1675	3296
337	1680	3290
338	1684	3284
339	1688	3278
340	1692	3271
341	1697	3265
342	1701	3259
343	1706	3253
344	1710	3247
345	1714	3240
346	1718	3234
347	1723	3229
348	1727	3222
349	1731	3216
350	1736	3210
351	1740	3204
352	1745	3198
353	1749	3192
354	1753	3185
355	1757	3179
356	1761	3173
357	1766	3167
358	1770	3161
359	1774	3155
360	1779	3149
361	1783	3142
362	1787	3136
363	1791	3130
364	1795	3123
365	1799	3117
366	1804	3112
367	1808	3106
368	1813	3101
369	1817	3094
370	1821	3088
371	1825	3082
372	1830	3076
373	1834	3070
374	1841	3069
375	1846	3063
376	1850	3057
377	1855	3053
378	1859	3047
379	1863	3041
380	1868	3035
381	1873	3030
382	1877	3024
383	1881	3017
384	1885	3011
385	1889	3005
386	1893	2999
387	1898	2993
388	1903	2989
389	1907	2983
390	1911	2977
391	1915	2971
392	1920	2965
393	1924	2959
394	1928	2953
395	1932	2947
396	1937	2943
397	1941	2937
398	1945	2931
399	1950	2925
400	1954	2919
401	1958	2913
402	1962	2907
403	1966	2901
404	1971	2896
405	1975	2890
406	1979	2884
407	1984	2878
408	1988	2873
409	1993	2868
410	1997	2862
411	2001	2856
412	2006	2851
413	2010	2845
414	2014	2839
415	2018	2833
416	2022	2827
417	2026	2822
418	2031	2816
419	2036	2811
420	2042	2808
421	2046	2803
422	2051	2797
423	2055	2792
424	2059	2786
425	2063	2780
426	2068	2775
427	2072	2769
428	2076	2764
429	2081	2759
430	2086	2753
431	2090	2748
432	2094	2742
433	2098	2736
434	2103	2731
435	2107	2726
436	2111	2720
437	2116	2715
438	2120	2709
439	2124	2703
440	2128	2698
441	2132	2692
442	2137	2687
443	2141	2682
444	2146	2676
445	2150	2671
446	2154	2665
447	2158	2660
448	2163	2654
449	2167	2649
450	2172	2644
451	2176	2638
452	2180	2633
453	2185	2628
454	2189	2622
455	2193	2616
456	2197	2611
457	2202	2605
458	2206	2600
459	2210	2595
460	2215	2589
461	2219	2584
462	2223	2579
463	2228	2573
464	2233	2569
465	2237	2564
466	2243	2560
467	2248	2555
468	2252	2550
469	2257	2545
470	2261	2540
471	2266	2535
472	2270	2529
473	2275	2524
474	2279	2519
475	2283	2514
476	2287	2508
477	2292	2503
478	2296	2498
479	2301	2493
480	2305	2488
481	2310	2482
482	2314	2477
483	2318	2472
484	2322	2466
485	2327	2461
486	2331	2456
487	2335	2450
488	2340	2445
489	2345	2440
490	2349	2435
491	2353	2430
492	2358	2425
493	2362	2419
494	2366	2414
495	2370	2408
496	2375	2403
497	2379	2398
498	2383	2393
499	2387	2387
500	2392	2382
501	2396	2377
502	2400	2371
503	2404	2366
504	2409	2361
505	2413	2356
506	2417	2350
507	2421	2345
508	2426	2340
509	2431	2336
510	2435	2330
511	2440	2326
512	2447	2323
513	2451	2318
514	2456	2313
515	2460	2307
516	2464	2302
517	2468	2297
